machine model,machine type,delivery date,delivery site,price,software version
a01,router,30/2/2023,london,517,sw101
a01,smart switches,27/02/2023,london,446,sw202
a02,router,16/02/2023,london,402,sw303
c02,router,15/01/2023,london,433,sw202
b01,smart switches,14/01/2023,london,477,sw101
c01,smart switches,11/3/2023,london,443,sw202
b02,smart switches,29/2/2023,london,551,sw101
b02,smart switches,20/2/2023,london,479,sw101
b01,router,4/02/2023,london,412,sw101
a01,router,5/03/2023,london,474,sw202
c02,router,15/03/2023,london,557,sw101
c01,smart switches,24/01/2023,london,464,sw101
c02,router,17/2/2023,london,406,sw303
c01,router,8/02/2023,london,546,sw303
a01,router,21/2/2023,london,471,sw303
b01,router,13/1/2023,london,586,sw202
b01,smart switches,15/3/2023,london,400,sw202
a02,router,4/2/2023,london,445,sw202
b02,router,5/2/2023,london,479,sw101
a02,smart switches,15/03/2023,london,498,sw101
c02,router,3/1/2023,london,570,sw303
b01,router,1/03/2023,london,469,sw202
a01,router,24/02/2023,london,448,sw303
c01,smart switches,12/2/2023,london,504,sw101
c01,smart switches,12/03/2023,london,494,sw101
a01,smart switches,3/2/2023,london,499,sw303
c02,smart switches,10/1/2023,london,571,sw303
c01,smart switches,26/03/2023,london,420,sw101
b02,router,7/03/2023,london,461,sw303
a01,smart switches,17/1/2023,london,460,sw303
a01,router,4/2/2023,london,509,sw202
c01,router,28/01/2023,london,447,sw101
b01,router,13/1/2023,london,583,sw101
a02,router,29/02/2023,london,401,sw202
b01,router,11/02/2023,london,488,sw101
a01,smart switches,19/1/2023,london,414,sw202
a01,smart switches,4/2/2023,london,586,sw101
c01,smart switches,30/01/2023,london,481,sw303
c01,smart switches,1/02/2023,london,563,sw202
b02,router,30/03/2023,london,599,sw303
c01,router,3/02/2023,london,468,sw303
b01,smart switches,2/1/2023,london,486,sw202
b02,router,5/02/2023,london,498,sw101
b01,router,14/02/2023,london,401,sw303
b02,smart switches,1/01/2023,london,539,sw303
c02,router,27/1/2023,london,491,sw303
a02,router,26/01/2023,london,564,sw303
c02,router,7/2/2023,london,562,sw202
a01,smart switches,27/1/2023,london,485,sw101
b02,router,30/2/2023,london,418,sw101
a01,router,14/1/2023,london,411,sw101
c02,router,9/3/2023,london,466,sw202
c02,smart switches,31/3/2023,london,413,sw202
c02,router,10/3/2023,london,486,sw202
